id,title,technical_type,size_bytes,storage,web_ready,readiness_level,units,crs,calibration_status,quicklook_href
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-20-10_28_26.tif,SE2_SR_2022-02-20 10_28_26.tif,raster,3909854,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-20-10_28_26.tif,SE2_SR_2022-02-20 10_28_26.tif,raster,3782894,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-20-11_20_11.tif,SE2_SR_2022-02-20 11_20_11.tif,raster,4166052,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-22-10_18_23.tif,SE2_SR_2022-02-22 10_18_23.tif,raster,3921082,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-22-10_18_23.tif,SE2_SR_2022-02-22 10_18_23.tif,raster,3896473,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-22-11_10_23.tif,SE2_SR_2022-02-22 11_10_23.tif,raster,4206233,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-25-10_28_20.tif,SE2_SR_2022-02-25 10_28_20.tif,raster,3817509,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-25-10_28_20.tif,SE2_SR_2022-02-25 10_28_20.tif,raster,3846848,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-02-26-10_46_28.tif,SE2_SR_2022-02-26 10_46_28.tif,raster,3196487,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-02-27-10_18_31.tif,SE2_SR_2022-02-27 10_18_31.tif,raster,3936108,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-02-27-10_18_31.tif,SE2_SR_2022-02-27 10_18_31.tif,raster,3883085,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-02-27-11_10_17.tif,SE2_SR_2022-02-27 11_10_17.tif,raster,4145137,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-03-02-10_28_27.tif,SE2_SR_2022-03-02 10_28_27.tif,raster,3807581,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-03-02-10_28_27.tif,SE2_SR_2022-03-02 10_28_27.tif,raster,3861557,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-03-02-11_20_13.tif,SE2_SR_2022-03-02 11_20_13.tif,raster,4292360,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-03-03-10_46_22.tif,SE2_SR_2022-03-03 10_46_22.tif,raster,3258202,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-03-04-10_18_25.tif,SE2_SR_2022-03-04 10_18_25.tif,raster,3939054,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-03-04-10_18_25.tif,SE2_SR_2022-03-04 10_18_25.tif,raster,3878299,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-03-06-10_56_20.tif,SE2_SR_2022-03-06 10_56_20.tif,raster,3298099,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
